word,roughness,etymology,origin,root,rough,pie.r
bark,4.3,NA,Scandinavian/Germanic,bherg,TRUE,TRUE
beaded,3,bead,Germanic,gwhedh-,TRUE,FALSE
brassy,-2.3,brass,unknown origin,ferrum,FALSE,TRUE
bristly,4.4,bristle,Germanic,bhars-,TRUE,TRUE
broken,3.1,break,Germanic,bhreg-,TRUE,TRUE
callused,4.2,callous,Latin,kal-,TRUE,FALSE
canvas,-0.3,NA,French borrowing,kannabis,FALSE,FALSE
ceramic,-2.5,NA,Greek through French,ker-,FALSE,TRUE
corroded,3.5,corrode,Latin through French,red-,TRUE,TRUE
cracked,3.5,crack,Germanic,gere-,TRUE,TRUE
craterous,3.6,NA,Latin,kere-,TRUE,TRUE
creamy,-4.8,cream,French borrowing,ghrei-,FALSE,TRUE
crinkled,2.4,crinkle,probably Germanic,ger-,TRUE,TRUE
crisp,2,NA,Latin,(s)ker-,TRUE,TRUE
crumpled,3.1,crump,Germanic,g(e)r-,TRUE,TRUE
crusty,2.9,crust,Latin / French borrowing,kreus-,TRUE,TRUE
disjointed,2.7,disjoin,French borrowing,yeug-,TRUE,FALSE
dusty,-0.8,dust,Germanic,dheu-,FALSE,FALSE
etched,2.8,etch,Dutch,ed-,TRUE,FALSE
fabric,-1.9,NA,French borrowing,dhabh-,FALSE,FALSE
feathered,-4.6,feather,Germanic,pet-,FALSE,FALSE
felt,-3.9,NA,Germanic,pel-,FALSE,FALSE
firm,4.2,NA,French borrowing,dher-,TRUE,TRUE
flannel,-2.9,NA,uncertain origin,wele-,FALSE,FALSE
flat,-2.7,NA,Germanic,plat-,FALSE,FALSE
fluid,-4.6,NA,French borrowing,bhleu-,FALSE,FALSE
frayed,-0.8,fray,French borrowing,bhreie-,FALSE,TRUE
frizzy,0.6,frizz,French borrowing,bher-,TRUE,TRUE
furry,-2.8,fur,French borrowing,pa-,FALSE,FALSE
fuzzy,-1.6,fuzz,unknown origin,pu-,FALSE,FALSE
gelatinous,-4.2,NA,French,gel-,FALSE,FALSE
glass,-5.2,NA,Germanic,ghel-,FALSE,FALSE
gluey,-2.9,glue,French borrowing,glei-,FALSE,FALSE
grainy,3.9,grain,French borrowing,gre-no-,TRUE,TRUE
gravelly,4.1,gravel,French borrowing,ghreu-,TRUE,TRUE
grooved,1.7,groove,Dutch borrowing,ghrebh-,TRUE,TRUE
holey,2,hole,Germanic,kel-,TRUE,FALSE
icy,-4.3,ice,Germanic,eis-,FALSE,FALSE
knobby,2.6,knob,possibly Germanic,g(e)n-,TRUE,FALSE
leather,-2.1,NA,Germanic,letro-,FALSE,TRUE
lubricated,-6.2,lubricate,French borrowing 1490 'lubric',sleubh-,FALSE,FALSE
oily,-6.2,oil,French borrowing,elaia,FALSE,FALSE
painted,-3,paint,French borrowing,peig-,FALSE,FALSE
peeling,0.8,pill,"variant of 'peel', probably Germanic",pag-,TRUE,FALSE
plastic,-4.1,NA,Latin,pele-,FALSE,FALSE
ragged,3.3,NA,origin uncertain,reue-,TRUE,TRUE
ribbed,3.4,rib,Germanic,rebh-,TRUE,TRUE
rippled,3.1,ripple,Germanic,rei-,TRUE,TRUE
rust,3.5,NA,Germanic,reudh-,TRUE,TRUE
sandy,3.9,sand,Germanic,bhes-,TRUE,FALSE
scaly,1.9,scale,Germanic,(s)kel-,TRUE,FALSE
scratchy,5,scratch,"apparently produced by a confusion of the synonymous scrat n., cratch v.",grat-,TRUE,TRUE
shiny,-4.2,shine,Germanic,skai-,FALSE,FALSE
slick,-5.5,NA,Germanic,(s)lei-,FALSE,FALSE
stubbly,5,stubble,French borrowing,steip-,TRUE,FALSE
thorny,5.8,thorn,Germanic,(s)ter-n-,TRUE,TRUE
velvety,-5.3,velvet,Latin,wel-,FALSE,FALSE
waxy,-3.6,wax,Germanic,wokso-,FALSE,FALSE
wooden,1.3,wood,Germanic,widhu-,TRUE,FALSE
woven,-0.2,weave,Germanic,webh-,FALSE,FALSE
