Stem,Description,surface_descriptor,pie_root,Rough.M,rough,r
?*k̑ḗlh₀-o- / ?*k̑élh₀-o-,"‘smooth, slippery’ [adj. | acro.] : Gm | *k̑elh₀",smooth,*k̑elh₀,-6.9,FALSE,FALSE
?**pleth₂-u- / ?**pl̥th₂-éu-,"‘broad, wide, flat’ [adj.] : IIr Gk | *pleth₂",flat,*pleth₂,-2.7,FALSE,FALSE
*skabʰ-ró-,"‘rough, scratchy, sharp’ [adj. | meso.] : It Balt | *skabʰ",rough,*skabʰ,6.2,TRUE,FALSE
*stéh₂-ro-,"‘firm, heavy, thick, old’ [adj. | meso.] : Gm BSl | *steh₂",firm,*steh₂,4.2,TRUE,FALSE
*tr̥s-tó-,"‘dried out, rough’ [adj. | meso.] : IIr It | *ters",rough,*ters,6.2,TRUE,TRUE
*tm̥k-mó-,"‘firm, enduring’ [adj. | meso.] : Iran | *temk",firm,*temk,4.2,TRUE,FALSE
*kl̥h₀⸰u-ó-,‘bald’ [adj.] : IIr | *klh₀⁃u,bald,*klh₀⁃u,-4.1,FALSE,FALSE
*dor-so-,"‘harsh, rough’ [adj.] : Celt | *der ¹",harsh,*der ¹,5.5,TRUE,TRUE
*s̱korb-o-,"‘rough, harsh, shrivelled’ [adj.] : Iran | *s̱kerb¹",rough,*s̱kerb¹,6.2,TRUE,TRUE
*pléh₂-no-,‘flat; ↪︎ floor’ [adj.] : It Balt | *pleh₂,flat,*pleh₂,-2.7,FALSE,FALSE
*kérs-i- / *kr̥s-éi-,"‘cutting, harsh’ [adj. | ? prot.] : Anat | *kers ¹",harsh,*kers ¹,5.5,TRUE,TRUE
**leh₁i-u-,‘smooth’ [adj.] : Gk It | *leh₁⁃i,smooth,*leh₁⁃i,-6.9,FALSE,FALSE
*pih₀-u-ér-ih₂ / **s̱pih₀-u̯r̥-iéh₂-,"‘fat, plump, oily (f.)’ [adj. | prot.] : Ind Gk | *peih₀ ²",oily,*peih₀ ²,-6.2,FALSE,FALSE
↷ *gʰlādʰ-u-ko-,‘smooth’ [↷ adj.] : Sl | *gʰladʰ,smooth,*gʰladʰ,-6.9,FALSE,FALSE
*kreup-o-,"‘crusty, scabby’ [adj.] : Gm Balt | *kreup",crusty,*kreup,2.9,TRUE,TRUE
*bʰel- ; [nsg.] *bʰēl ← *bʰel-s,"‘white; fiery, shiny (?)’ [adj.] : IIr Celt Gm Sl | *bʰel ¹",shiny,*bʰel ¹,-4.2,FALSE,FALSE
*dʰ(e)r-mo-,‘firm’ [adj.] : Ind Nur It | *dʰer,firm,*dʰer,4.2,TRUE,TRUE
↷ *s̱li-mo‑no-,"‘polished, smooth’ [↷ adj.] : Celt | *s̱lei",polished,*s̱lei,-5.3,FALSE,FALSE
*lip-h₂-ró-,"‘fatty, greasy; ↪︎liver’ [adj. | meso.] : Gk Gm | *leip",greasy,*leip,-5.1,FALSE,FALSE
*mail-o-,"‘cropped, bald, bare’ [adj.] : Celt | *mai⁃l",bald,*mai⁃l,-4.1,FALSE,FALSE
*dʰl̥g-u-,"‘stinging, prickly’ [adj.] : Balt | *dʰelg",prickly,*dʰelg,5.2,TRUE,FALSE
↷ ? *h₁i-s-sk̑-u-,‘icy’ [↷ adj.] : Iran | *h₁ei ²,icy,*h₁ei ²,-4.3,FALSE,FALSE
?*dr⸰ou•sth₂-o-,‘firm’ [adj.] : Gm | *der⁃u,firm,*der⁃u,4.2,TRUE,TRUE
*dl̥g̑ʰ-u-,"‘firm, fixed in place, strong’ [adj.] : Gm | *delg̑ʰ",firm,*delg̑ʰ,4.2,TRUE,FALSE
*s̱tók-lo-,"‘firm, hard, strong’ [adj.] : Iran Gm | *s̱tek",firm,*s̱tek,4.2,TRUE,FALSE
*srp-ró-,"‘slippery, smooth, lithe’ [adj. | meso.] : Ind | *serp ¹",slippery,*serp ¹,-6.2,FALSE,TRUE
*stm̥bʰh₀-tó-,"‘supported, fixed, firm’ [adj. | meso.] : IIr | *stembʰh₀",firm,*stembʰh₀,4.2,TRUE,FALSE
**h₃sléidʰ-u- / **h₃slidʰ-éu-,‘slippery’ [adj. | prot.] : Balt | *h₃sleidʰ,slippery,*h₃sleidʰ,-6.2,FALSE,FALSE
*poig-o-,"‘painted, speckled’ [adj.] : Sl | *peig ¹",painted,*peig ¹,-3,FALSE,FALSE
*lou-ro-,"‘slimy, muddy, wretched’ [adj.] : Balt Alb | *leu",slimy,*leu,-5.2,FALSE,FALSE
*bʰugʰ-tó-,"‘bent, blunt’ [adj. | meso.] : Celt Arm Alb | *bʰeugʰ",blunt,*bʰeugʰ,0.5,TRUE,FALSE
*s̱kl̥h₁-ró-,"‘dry, rough, stiff’ [adj.] : Gk | *s̱kelh₁ ²",rough,*s̱kelh₁ ²,6.2,TRUE,FALSE
*sleig̑-o-,"‘smooth, slippery; ↪︎ mud’ [adj.; m.] : Gm Sl | *slei⁃g̑",smooth,*slei⁃g̑,-6.9,FALSE,FALSE
*g̑ʰr̥s-o-,"‘bristling, rigid, rough’ [adj.] : Iran | *g̑ʰer⁃s",rough,*g̑ʰer⁃s,6.2,TRUE,TRUE
*ph₂g̑-tó-,"‘solid, firm’ [adj.] : It | *peh₂g̑",firm,*peh₂g̑,4.2,TRUE,FALSE
?**keh₂l-i-,"‘dusty, dirty’ [adj.] : It | *keh₂l",dusty,*keh₂l,-0.8,FALSE,FALSE
**sog̑ʰ-u‑,"‘powerful, strong, firm’ [adj.] : Anat Gk | *seg̑ʰ",firm,*seg̑ʰ,4.2,TRUE,FALSE
↷*legʰ‑l‑io,"‘small, fine’ [adj.] : T | *legʰ ²",fine,*legʰ ²,-5.2,FALSE,FALSE
*tu̯r̥h₀‑tó‑,"‘grasped, held > strong, firm, tight’ [adj.] : Balt | *tuerh₀",firm,*tuerh₀,4.2,TRUE,TRUE
